TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,61,31,30,0.508,48.4,44.2,92.1,0.48,10.7,30.4,0.353,17.9,21.8,0.818,10.6,33.3,43.9,24.6,12.8,7.0,4.9,5.0,19.0,19.8,116.9,0.0,17,14,12,14,13,1,3,11,25,29,19,24,26,4,13,12,12,19,3,19,12,21,5,22,8,19
1610612738,Boston Celtics,62,44,18,0.71,48.7,41.9,88.2,0.475,15.9,42.1,0.377,18.0,21.9,0.824,9.6,35.4,45.0,26.3,13.5,6.3,5.3,3.9,19.1,19.3,117.7,5.7,6,1,2,2,1,15,15,14,2,2,8,20,25,2,23,3,8,7,7,29,6,3,6,25,4,1
1610612751,Brooklyn Nets,60,34,26,0.567,48.1,42.1,84.3,0.5,12.6,32.4,0.388,16.9,21.3,0.796,7.7,32.4,40.1,25.6,14.1,6.9,6.4,3.7,22.0,18.2,113.8,0.9,22,9,8,9,30,12,28,2,10,20,2,27,28,9,30,18,29,10,13,21,1,1,28,30,17,11
1610612766,Charlotte Hornets,63,20,43,0.317,48.5,42.0,92.0,0.456,10.8,32.9,0.328,17.9,23.9,0.75,11.7,33.4,45.1,25.1,13.8,8.1,5.0,5.8,20.7,20.6,112.6,-5.7,2,27,27,27,8,14,4,26,22,17,29,22,14,26,8,10,6,15,11,6,9,29,21,14,24,27
1610612741,Chicago Bulls,61,28,33,0.459,48.4,42.4,86.9,0.488,10.3,28.8,0.359,18.1,22.3,0.809,8.6,34.4,43.0,24.1,13.8,7.5,4.5,4.9,19.4,19.0,113.2,0.8,17,22,24,24,13,10,20,6,30,30,16,18,24,5,28,6,16,22,8,11,19,19,9,27,19,14
1610612739,Cleveland Cavaliers,64,39,25,0.609,48.5,41.3,84.5,0.488,11.5,31.5,0.364,17.9,22.9,0.782,9.7,32.1,41.8,24.9,13.8,7.1,4.4,4.2,18.7,20.9,111.9,5.4,1,4,6,6,6,22,27,5,19,23,11,23,20,16,22,22,23,16,9,18,21,11,3,10,26,2
1610612742,Dallas Mavericks,62,32,30,0.516,48.6,39.5,83.4,0.473,15.0,40.7,0.368,19.5,26.0,0.749,7.9,30.9,38.8,22.4,12.4,6.5,3.8,3.9,20.7,22.6,113.4,0.8,6,13,12,13,3,29,30,16,3,3,10,9,3,27,29,29,30,29,2,24,27,4,22,1,18,12
1610612743,Denver Nuggets,62,43,19,0.694,48.2,43.9,86.3,0.509,12.1,31.1,0.391,16.9,22.5,0.752,9.9,33.1,43.0,29.1,15.0,7.5,4.4,4.4,19.1,19.8,117.0,4.1,6,2,3,3,22,2,22,1,15,24,1,26,23,25,18,14,18,2,23,10,20,13,7,21,7,3
1610612765,Detroit Pistons,62,15,47,0.242,48.4,39.7,87.5,0.454,11.6,33.0,0.352,20.6,26.8,0.771,11.0,31.6,42.5,22.8,15.0,7.2,3.8,5.5,22.4,21.6,111.7,-7.5,6,28,28,28,16,28,18,28,18,15,20,2,1,21,12,24,21,26,22,13,26,27,30,2,27,28
1610612744,Golden State Warriors,61,31,30,0.508,48.4,42.9,90.2,0.476,16.7,43.3,0.386,15.8,20.0,0.789,10.0,34.0,44.0,29.6,16.3,7.1,3.7,4.1,22.0,18.5,118.3,0.2,17,14,12,14,13,8,8,13,1,1,3,30,30,13,16,8,10,1,29,17,28,8,29,29,2,17
1610612745,Houston Rockets,60,13,47,0.217,48.2,39.8,88.4,0.449,10.8,33.2,0.325,19.4,25.7,0.754,13.2,33.3,46.5,22.4,16.8,7.2,4.9,6.0,20.7,21.3,109.7,-8.7,22,30,28,30,26,27,14,30,23,14,30,11,4,24,1,11,4,28,30,14,13,30,19,4,29,29
1610612754,Indiana Pacers,62,27,35,0.435,48.2,41.3,89.6,0.461,14.0,38.4,0.364,18.5,23.2,0.795,10.1,31.5,41.6,26.6,15.1,8.0,5.8,5.2,21.4,20.0,115.0,-2.4,6,25,25,25,29,20,11,25,6,6,12,16,17,10,14,26,24,6,24,8,3,24,26,17,12,25
1610612746,LA Clippers,63,33,30,0.524,48.5,40.6,86.1,0.472,12.8,33.7,0.381,18.6,23.8,0.781,9.8,33.6,43.4,23.1,14.2,6.9,4.6,4.2,19.7,19.7,112.7,0.1,2,10,12,12,8,24,24,17,9,12,5,14,15,18,20,9,15,25,15,22,17,12,10,23,23,18
1610612747,Los Angeles Lakers,61,29,32,0.475,48.6,43.2,89.8,0.481,10.5,31.0,0.337,20.2,26.1,0.774,9.7,35.9,45.7,25.2,14.0,6.5,4.5,5.3,18.5,21.3,117.0,-0.9,17,20,18,21,5,6,9,9,29,25,26,4,2,20,21,2,5,13,12,26,18,25,2,5,6,24
