TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
1610612737,Atlanta Hawks,19,10,9,0.526,917.0,119.1,120.6,118.0,119.6,1.2,1.0,0.549,1.96,17.5,0.337,0.733,0.528,0.126,0.554,0.593,103.0,101.63,84.69,1942,0.499,11,14,13,14,17,3,27,15,29,14,26,2,8,4,8,13,11,4,17
1610612738,Boston Celtics,19,12,7,0.632,932.0,116.6,118.8,108.2,110.8,8.4,8.0,0.615,2.11,19.2,0.256,0.731,0.499,0.126,0.57,0.599,101.1,98.94,82.45,1918,0.536,11,7,5,6,11,6,2,1,16,8,12,25,12,16,9,8,8,18,4
1610612751,Brooklyn Nets,20,9,11,0.45,965.0,110.9,113.1,112.4,114.4,-1.5,-1.3,0.622,1.93,18.1,0.243,0.688,0.466,0.128,0.53,0.575,100.9,99.06,82.55,1991,0.49,7,18,21,20,7,24,15,20,11,15,22,28,27,28,10,22,21,17,19
1610612766,Charlotte Hornets,19,9,10,0.474,912.0,105.1,106.4,110.5,112.8,-5.4,-6.4,0.629,1.68,18.2,0.247,0.733,0.492,0.148,0.524,0.558,102.1,100.37,83.64,1910,0.48,11,18,17,17,22,30,9,26,9,26,18,27,9,19,26,26,27,12,26
1610612741,Chicago Bulls,19,12,7,0.632,932.0,116.3,118.1,108.7,111.1,7.6,7.0,0.595,2.05,19.3,0.253,0.721,0.497,0.129,0.574,0.607,97.3,95.51,79.59,1854,0.542,11,7,5,6,11,7,4,2,22,9,10,26,17,17,12,6,6,30,1
1610612739,Cleveland Cavaliers,18,11,7,0.611,869.0,115.7,117.8,110.5,112.6,5.2,5.2,0.576,2.16,18.4,0.265,0.672,0.465,0.118,0.555,0.587,98.5,96.72,80.6,1747,0.514,26,10,5,9,28,9,8,7,26,6,16,20,30,29,2,12,16,27,12
1610612742,Dallas Mavericks,19,6,13,0.316,922.0,115.9,117.5,116.1,118.0,-0.2,-0.5,0.588,1.98,18.2,0.211,0.713,0.467,0.123,0.581,0.614,100.3,98.81,82.34,1901,0.484,11,25,25,25,14,10,23,18,24,13,19,30,21,27,7,3,3,19,22
1610612743,Denver Nuggets,19,11,8,0.579,917.0,114.1,115.6,112.2,114.4,1.9,1.2,0.674,2.23,20.4,0.297,0.718,0.51,0.131,0.55,0.581,98.5,96.97,80.81,1856,0.515,11,10,10,11,17,15,14,14,2,4,1,10,19,9,13,17,18,26,11
1610612765,Detroit Pistons,19,1,18,0.053,912.0,105.8,107.7,115.1,116.6,-9.3,-9.0,0.599,1.54,17.2,0.303,0.685,0.491,0.156,0.511,0.546,99.9,98.37,81.97,1862,0.441,11,30,30,30,22,29,20,27,20,30,27,6,28,21,29,30,30,20,29
1610612744,Golden State Warriors,21,12,9,0.571,1013.0,113.8,115.5,110.8,112.8,3.0,2.6,0.678,1.82,19.8,0.304,0.709,0.509,0.156,0.558,0.59,102.7,101.02,84.19,2131,0.514,2,7,13,13,4,16,10,13,1,19,3,5,23,12,30,10,12,8,13
